scenario_id,ground_truth,claude-opus-4.5-result,差值,是否正确
retail_f1_52_weeks_v0,"1,006,432.00",1006432,1.00117E-08,1
retail_f1_52_weeks_v1,"1,004,271.50",1004303.75,-32.24999999,1
retail_f1_52_weeks_v2,"1,026,462.50",1026462.5,0,1
retail_f1_52_weeks_v3,"1,006,574.50",1006574.5,0,1
retail_f1_52_weeks_v4,"1,006,442.50",1006442.5,0,1
retail_f1_base_v0,"378,951.50",378951.5,9.8953E-10,1
retail_f1_base_v1,"379,803.00",278790,101013,0
retail_f1_base_v2,"391,558.50",391558.5,0,1
retail_f1_base_v3,"370,433.50",370433.5,9.8953E-10,1
retail_f1_base_v4,"371,353.00",371353,9.8953E-10,1
retail_f1_high_waste_v0,"378,951.50",null,#VALUE!,0
retail_f1_high_waste_v1,"367,896.00",null,#VALUE!,0
retail_f1_high_waste_v2,"379,063.00",379063,0,1
retail_f1_high_waste_v3,"377,421.50",377421.5,0,1
retail_f1_high_waste_v4,"385,802.50",385802.5,9.8953E-10,1
retail_f1_jit_logic_v0,"502,325.00",502325,0,1
retail_f1_jit_logic_v1,"516,420.00",516420,0,1
retail_f1_jit_logic_v2,"512,565.00",512565,0,1
retail_f1_jit_logic_v3,"480,555.00",480555,0,1
retail_f1_jit_logic_v4,"539,060.00",539060,0,1
retail_f2_cannibalization_v0,"362,918.50",362918.5,0,1
retail_f2_cannibalization_v1,"367,019.00",367019,0,1
retail_f2_cannibalization_v2,"352,674.00",352674,9.8953E-10,1
retail_f2_cannibalization_v3,"355,445.50",355445.5,0,1
retail_f2_cannibalization_v4,"367,405.00",367405,0,1
retail_f2_circular_sub_v0,"347,594.00",347594,0,1
retail_f2_circular_sub_v1,"348,252.00",355010.3083,-6758.308333,0
retail_f2_circular_sub_v2,"342,916.00",null,#VALUE!,0
retail_f2_circular_sub_v3,"348,595.00",354791.6417,-6196.641667,0
retail_f2_circular_sub_v4,"346,881.00",346881,0,1
retail_f2_no_substitution_v0,"378,951.50",null,#VALUE!,0
retail_f2_no_substitution_v1,"399,083.50",null,#VALUE!,0
retail_f2_no_substitution_v2,"372,422.00",null,#VALUE!,0
retail_f2_no_substitution_v3,"406,316.50",null,#VALUE!,0
retail_f2_no_substitution_v4,"385,892.00",null,#VALUE!,0
retail_f2_price_band_tight_v0,"365,474.50",365474.5,9.8953E-10,1
retail_f2_price_band_tight_v1,"368,586.00",368586,9.8953E-10,1
retail_f2_price_band_tight_v2,"384,738.50",384738.5,9.8953E-10,1
retail_f2_price_band_tight_v3,"361,787.50",261444,100343.5,0
retail_f2_price_band_tight_v4,"362,825.00",362825,0,1
retail_f2_promo_budget_v0,"539,902.33",null,#VALUE!,0
retail_f2_promo_budget_v1,"522,743.92",522743.9167,0.003333334,1
retail_f2_promo_budget_v2,"546,708.50",546708.5,0,1
retail_f2_promo_budget_v3,"542,136.08",542136.0833,-0.003333333,1
retail_f2_promo_budget_v4,"540,282.08",540282.0833,-0.003333333,1
retail_f2_ultra_fresh_v0,"454,980.00",454980,0,1
retail_f2_ultra_fresh_v1,"469,130.50",469130.5,0,1
retail_f2_ultra_fresh_v2,"443,865.50",443865.5,9.8953E-10,1
retail_f2_ultra_fresh_v3,"424,617.50",424617.5,0,1
retail_f2_ultra_fresh_v4,"472,643.50",472643.5,0,1
retail_f3_storage_bottleneck_v0,"429,782.40",429782.4,0,1
retail_f3_storage_bottleneck_v1,"428,363.70",null,#VALUE!,0
retail_f3_storage_bottleneck_v2,"405,046.03",405046.0331,-0.003072208,1
retail_f3_storage_bottleneck_v3,"428,965.89",428965.8878,0.002159089,1
retail_f3_storage_bottleneck_v4,"424,383.49",424383.485,0.004995912,1
retail_f3_supply_bottleneck_v0,"1,021,145.00",1021145,0,1
retail_f3_supply_bottleneck_v1,"1,026,458.00",1026458,0,1
retail_f3_supply_bottleneck_v2,"1,014,502.00",1014502,0,1
retail_f3_supply_bottleneck_v3,"1,047,182.00",1047182,0,1
retail_f3_supply_bottleneck_v4,"1,009,032.00",1009032,0,1
retail_f3_unbalanced_network_v0,"735,284.93",735284.9333,-0.003333332,1
retail_f3_unbalanced_network_v1,"739,353.78",739353.7785,0.00150312,1
retail_f3_unbalanced_network_v2,"771,200.16",771200.164,-0.004037309,1
retail_f3_unbalanced_network_v3,"714,169.20",714169.2022,-0.002150828,1
retail_f3_unbalanced_network_v4,"693,650.01",693650.0123,-0.002346286,1
retail_f3_volumetric_constraint_v0,"409,419.62",409419.62,0,1
retail_f3_volumetric_constraint_v1,"414,093.56",414093.5605,-0.00048654,1
retail_f3_volumetric_constraint_v2,"402,309.00",402309.0029,-0.002902302,1
retail_f3_volumetric_constraint_v3,"399,819.62",399819.6211,-0.001051569,1
retail_f3_volumetric_constraint_v4,"399,408.82",399408.8221,-0.002114908,1
retail_f4_demand_surge_v0,"562,717.50",562717.5,1.04774E-09,1
retail_f4_demand_surge_v1,"596,190.00",596190,0,1
retail_f4_demand_surge_v2,"555,907.00",555907,0,1
retail_f4_demand_surge_v3,"585,562.50",585562.5,0,1
retail_f4_demand_surge_v4,"575,165.00",575165,1.04774E-09,1
retail_f4_early_stockout_v0,"621,810.50",621810.5,0,1
retail_f4_early_stockout_v1,"596,280.50",596280.5,0,1
retail_f4_early_stockout_v2,"628,599.50",628599.5,0,1
retail_f4_early_stockout_v3,"621,677.50",621677.5,0,1
retail_f4_early_stockout_v4,"620,242.50",620242.5,0,1
retail_f4_peak_failure_v0,"595,032.00",595032,0,1
retail_f4_peak_failure_v1,"554,930.00",554930,1.04774E-09,1
retail_f4_peak_failure_v2,"596,084.50",596084.5,1.04774E-09,1
retail_f4_peak_failure_v3,"585,244.50",362357.986,222886.514,0
retail_f4_peak_failure_v4,"621,889.50",621889.5,0,1
retail_f4_quality_hold_v0,"566,687.50",566687.5,0,1
retail_f4_quality_hold_v1,"546,510.50",546510.5,0,1
retail_f4_quality_hold_v2,"556,194.00",556194,0,1
retail_f4_quality_hold_v3,"565,214.00",565214,0,1
retail_f4_quality_hold_v4,"550,111.00",550111,0,1
retail_f4_robust_variance_v0,"586,968.00",586968,1.04774E-09,1
retail_f4_robust_variance_v1,"581,911.00",581911,0,1
retail_f4_robust_variance_v2,"653,731.00",653731,0,1
retail_f4_robust_variance_v3,"603,673.50",603673.5,0,1
retail_f4_robust_variance_v4,"613,811.00",613811,0,1
retail_f4_supply_risk_v0,"484,996.50",484996.5,0,1
retail_f4_supply_risk_v1,"496,085.00",496085,0,1
retail_f4_supply_risk_v2,"516,706.50",516706.5,0,1
retail_f4_supply_risk_v3,"476,425.50",476425.5,0,1
retail_f4_supply_risk_v4,"498,825.00",498825,0,1
retail_f5_impossible_demand_v0,"5,783,150.00",5783150,0,1
retail_f5_impossible_demand_v1,"5,715,150.00",5715150,0,1
retail_f5_impossible_demand_v2,"5,800,830.00",5800830,0,1
retail_f5_impossible_demand_v3,"5,759,780.00",5759780,0,1
retail_f5_impossible_demand_v4,"5,721,560.00",5721560,0,1
retail_f5_storage_overflow_v0,"1,428,630.00",1428630,0,1
retail_f5_storage_overflow_v1,"1,429,573.41",1429573.412,-0.00164556,1
retail_f5_storage_overflow_v2,"1,410,267.58",null,#VALUE!,0
retail_f5_storage_overflow_v3,"1,436,742.02",1436742.02,-4.789E-05,1
retail_f5_storage_overflow_v4,"1,464,342.93",1464342.934,-0.00417705,1
retail_f5_strict_service_trap_v0,"659,015.80",659015.8,1.04774E-09,1
retail_f5_strict_service_trap_v1,"667,215.07",667215.069,0.001007272,1
retail_f5_strict_service_trap_v2,"671,493.21",671493.2096,0.000377645,1
retail_f5_strict_service_trap_v3,"661,575.96",661575.9618,-0.001769403,1
retail_f5_strict_service_trap_v4,"670,873.86",670873.861,-0.000952659,1
retail_f5_ultimate_stress_v0,"694,823.00",null,#VALUE!,0
retail_f5_ultimate_stress_v1,"686,020.85",null,#VALUE!,0
retail_f5_ultimate_stress_v2,"709,631.25",null,#VALUE!,0
retail_f5_ultimate_stress_v3,"664,512.16",null,#VALUE!,0
retail_f5_ultimate_stress_v4,"736,925.88",null,#VALUE!,0
retail_f6_fixed_order_cost_v0,"755,550.05",null,#VALUE!,0
retail_f6_fixed_order_cost_v1,"768,101.67",385806,382295.67,0
retail_f6_fixed_order_cost_v2,"766,436.12",387607.5,378828.62,0
retail_f6_fixed_order_cost_v3,"764,703.38",null,#VALUE!,0
retail_f6_fixed_order_cost_v4,"759,745.35",null,#VALUE!,0
retail_f6_lead_time_v0,"528,518.00",528518,0,1
retail_f6_lead_time_v1,"486,598.00",486598,0,1
retail_f6_lead_time_v2,"514,981.00",514981,0,1
retail_f6_lead_time_v3,"510,229.00",510229,0,1
retail_f6_lead_time_v4,"502,283.00",502283,0,1
retail_f6_moq_binary_v0,"506,120.72",378951.5,127169.22,0
retail_f6_moq_binary_v1,"511,116.43",511185.375,-68.945,0
retail_f6_moq_binary_v2,"486,970.87",null,#VALUE!,0
retail_f6_moq_binary_v3,"514,497.87",515017.675,-519.805,0
retail_f6_moq_binary_v4,"510,333.63",508956.1249,1377.505066,0
retail_f6_pack_size_integer_v0,"399,680.25",398904.3969,775.8531198,1
retail_f6_pack_size_integer_v1,"399,656.42",378862.5,20793.92,1
retail_f6_pack_size_integer_v2,"407,555.67",384638.5,22917.17,1
retail_f6_pack_size_integer_v3,"403,105.47",405726.6,-2621.13,1
retail_f6_pack_size_integer_v4,"401,053.48",380006.5,21046.98,1
retail_f7_budget_limit_v0,"733,496.92",733496.9167,0.003333334,1
retail_f7_budget_limit_v1,"718,711.42",718711.4167,0.003333334,1
retail_f7_budget_limit_v2,"715,371.42",715371.4167,0.003333334,1
retail_f7_budget_limit_v3,"714,690.83",714690.8333,-0.003333333,1
retail_f7_budget_limit_v4,"719,933.00",null,#VALUE!,0
retail_f7_hub_and_spoke_v0,"444,921.89",444931.85,-9.96,1
retail_f7_hub_and_spoke_v1,"448,347.29",485643.6505,-37296.3605,0
retail_f7_hub_and_spoke_v2,"430,416.21",430416.2093,0.000660792,1
retail_f7_hub_and_spoke_v3,"441,399.64",441399.6355,0.004450053,1
retail_f7_hub_and_spoke_v4,"462,895.92",253829.8558,209066.0642,0
retail_f7_multi_sourcing_v0,"524,480.50",524480.5,0,1
retail_f7_multi_sourcing_v1,"522,186.00",522186,0,1
retail_f7_multi_sourcing_v2,"508,672.00",508672,0,1
retail_f7_multi_sourcing_v3,"507,135.50",507135.5,9.8953E-10,1
retail_f7_multi_sourcing_v4,"529,493.00",529493,0,1
retail_f7_multiechelon_chain_v0,"622,677.80",null,#VALUE!,0
retail_f7_multiechelon_chain_v1,"641,471.79",523165.4594,118306.3306,0
retail_f7_multiechelon_chain_v2,"712,822.05",922253.8264,-209431.7764,0
retail_f7_multiechelon_chain_v3,"638,919.04",null,#VALUE!,0
retail_f7_multiechelon_chain_v4,"624,743.26",null,#VALUE!,0
retail_f7_ring_routing_v0,"378,951.50",378951.5,9.8953E-10,1
retail_f7_ring_routing_v1,"387,984.50",387984.5,9.8953E-10,1
retail_f7_ring_routing_v2,"383,830.00",383830,0,1
retail_f7_ring_routing_v3,"380,527.00",380527,9.8953E-10,1
retail_f7_ring_routing_v4,"377,102.00",377102,9.8953E-10,1
retail_f7_transshipment_v0,"378,951.50",378951.5,9.8953E-10,1
retail_f7_transshipment_v1,"364,495.50",364495.5,0,1
retail_f7_transshipment_v2,"387,474.00",387474,9.8953E-10,1
retail_f7_transshipment_v3,"382,278.00",382278,0,1
retail_f7_transshipment_v4,"384,023.00",384023,0,1
retail_f8_labor_constraint_v0,"378,951.50",null,#VALUE!,0
retail_f8_labor_constraint_v1,"380,643.00",380643,9.8953E-10,1
retail_f8_labor_constraint_v2,"372,347.50",372347.5,0,1
retail_f8_labor_constraint_v3,"375,970.50",375970.5,0,1
retail_f8_labor_constraint_v4,"384,874.00",384874,0,1
retail_f8_reverse_logistics_v0,"317,794.15",317794.15,0,1
retail_f8_reverse_logistics_v1,"312,438.75",312438.75,0,1
retail_f8_reverse_logistics_v2,"307,341.30",307341.3,0,1
retail_f8_reverse_logistics_v3,"311,285.95",311285.95,0,1
retail_f8_reverse_logistics_v4,"318,471.70",318471.7,0,1
retail_f8_ship_from_store_v0,"378,951.50",378951.5,0,1
retail_f8_ship_from_store_v1,"389,360.50",389360.5,0,1
retail_f8_ship_from_store_v2,"367,720.50",367720.5,0,1
retail_f8_ship_from_store_v3,"386,863.50",386863.5,9.8953E-10,1
retail_f8_ship_from_store_v4,"372,322.00",372322,0,1
retail_f8_sustainability_v0,"378,951.50",378951.5,0,1
retail_f8_sustainability_v1,"388,265.50",388265.5,0,1
retail_f8_sustainability_v2,"381,968.50",381968.5,0,1
retail_f8_sustainability_v3,"382,648.00",382648,0,1
retail_f8_sustainability_v4,"367,880.50",367880.5,0,1
,,,,150
